row_type,group,group_label,n_requested,n_evaluated,n_skipped,mean_fake_prob,min_fake_prob,max_fake_prob,std_fake_prob,n_pred_fake,accuracy_all_fake_gt,threshold,face_crop,skip_no_face,resize_if_not_380,model_path,path,filename,logit,prob_fake,pred_fake,pred_label,face_detected,status
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_1096_44e5c86add.jpg,gan_fake_1096_44e5c86add.jpg,2.103516,0.891244,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_3355_4cb727649d.jpg,gan_fake_3355_4cb727649d.jpg,4.175781,0.984869,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_7233_b31b9e4de4.jpg,gan_fake_7233_b31b9e4de4.jpg,3.546875,0.971992,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_6018_4b4ec74b68.jpg,gan_fake_6018_4b4ec74b68.jpg,3.525391,0.971402,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_5099_65ff5c05f5.jpg,gan_fake_5099_65ff5c05f5.jpg,1.844727,0.863507,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_3294_0ef610b6ae.jpg,gan_fake_3294_0ef610b6ae.jpg,3.234375,0.962108,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_4176_972d600ff9.jpg,gan_fake_4176_972d600ff9.jpg,2.558594,0.928149,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_5965_bbb489d79f.jpg,gan_fake_5965_bbb489d79f.jpg,2.089844,0.889912,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_2508_e1accc5e6f.jpg,gan_fake_2508_e1accc5e6f.jpg,3.554688,0.972204,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_2369_d6fa2057ad.jpg,gan_fake_2369_d6fa2057ad.jpg,2.910156,0.948346,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_6603_ac79873784.jpg,gan_fake_6603_ac79873784.jpg,0.980957,0.727298,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_2427_782ba4cd0a.jpg,gan_fake_2427_782ba4cd0a.jpg,4.039062,0.982691,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_6295_f6476a62b2.jpg,gan_fake_6295_f6476a62b2.jpg,2.216797,0.901748,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_6073_f73e956a3e.jpg,gan_fake_6073_f73e956a3e.jpg,3.925781,0.980655,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_9906_6f5d2a8047.jpg,gan_fake_9906_6f5d2a8047.jpg,1.724609,0.848722,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_4901_c39a6eb560.jpg,gan_fake_4901_c39a6eb560.jpg,2.136719,0.894421,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_1641_90ff47fe79.jpg,gan_fake_1641_90ff47fe79.jpg,2.408203,0.917451,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_7777_77cbf8f8ef.jpg,gan_fake_7777_77cbf8f8ef.jpg,2.914062,0.948537,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_8909_c2f16c193b.jpg,gan_fake_8909_c2f16c193b.jpg,3.669922,0.975155,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_2842_a2451f6477.jpg,gan_fake_2842_a2451f6477.jpg,2.544922,0.927232,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_6583_439e5c01c1.jpg,gan_fake_6583_439e5c01c1.jpg,3.378906,0.967039,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_2163_2768fc2e5e.jpg,gan_fake_2163_2768fc2e5e.jpg,3.277344,0.963643,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_9142_f3a28a9e4a.jpg,gan_fake_9142_f3a28a9e4a.jpg,2.601562,0.930962,1,fake,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_1.jpg,fake_1.jpg,-1.973633,0.121999,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_10.jpg,fake_10.jpg,-1.985352,0.120750,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_11.jpg,fake_11.jpg,-1.816406,0.139866,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_12.jpg,fake_12.jpg,-1.388672,0.199620,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_13.jpg,fake_13.jpg,-1.075195,0.254416,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_14.jpg,fake_14.jpg,-2.464844,0.078360,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_15.jpg,fake_15.jpg,-1.506836,0.181408,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_16.jpg,fake_16.jpg,-1.506836,0.181408,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_17.jpg,fake_17.jpg,-2.556641,0.071982,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_18.jpg,fake_18.jpg,-1.273438,0.218669,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_19.jpg,fake_19.jpg,-1.842773,0.136724,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_2.jpg,fake_2.jpg,-1.462891,0.188026,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_20.jpg,fake_20.jpg,-3.396484,0.032406,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_21.jpg,fake_21.jpg,-3.388672,0.032651,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_22.jpg,fake_22.jpg,-2.193359,0.100348,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_23.jpg,fake_23.jpg,-2.718750,0.061876,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_24.jpg,fake_24.jpg,-2.992188,0.047780,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_3.jpg,fake_3.jpg,-1.884766,0.131842,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_4.jpg,fake_4.jpg,-1.624023,0.164651,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_5.jpg,fake_5.jpg,-2.015625,0.117572,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_6.jpg,fake_6.jpg,-1.669922,0.158435,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_7.jpg,fake_7.jpg,-1.356445,0.204819,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_8.jpg,fake_8.jpg,-1.597656,0.168309,0,real,True,ok
image,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),,,,,,,,,,,,,,,D:\forsen\test_images\fake\fake_9.jpg,fake_9.jpg,-1.548828,0.175256,0,real,True,ok
